"`id`","`login`","`name`","`type`","`company`","`fake`","`deleted`"
"15408","Reactive-Extensions","The Cloud Programmability Group at Microsoft","ORG",,"0","0"
"19284","mspnp","Microsoft patterns & practices","ORG",,"0","0"
"52031","microsoft-dpe","Microsoft Developer and Platform Evangelism","ORG",,"0","0"
"66902","MSOpenTech","Microsoft Open Technologies, Inc.","ORG",,"0","0"
"83929","Microsoft-Interop","Microsoft Interop Team","ORG",,"0","1"
"95143","google","Google","ORG",,"0","0"
"100955","GoogleDeveloperGroups","Google Developer Groups (GDG)","ORG",,"0","0"
"167533","applesysu","Apple Club of Sun Yat-sen University","ORG",,"0","0"
"199891","appleple","appleple","ORG",,"0","0"
"254201","ItpJava","Grupo ITP_JAVA de Google","ORG",,"0","0"
"299763","Applegate","Applegate","ORG",,"0","0"
"302520","gdg-krakow","Google Developers Group Kraków","ORG",,"0","0"
"312807","GoogleCampusPartyHackathon","Google Chrome Hackathon at Campus Party Berlin","ORG",,"0","0"
"328071","GIOEPrague","Google I/O Extended Prague 2012","ORG",,"0","0"
"329191","rotten-apples","Linux cross toolchain for Apple iOS","ORG",,"0","0"
"340216","liike","Project Liike, Microsoft p&p","ORG",,"0","1"
"363514","grapple","Grapple Mobile Ltd","ORG",,"0","0"
"394357","googleapi","Google API for Delphi","ORG",,"0","0"
"435127","DartHackPrague","Google Global Dart Hackathon Prague","ORG",,"0","0"
"455393","roblox-chrome-plugins","Google Chrome Extension Developers for Roblox","ORG",,"0","0"
"464165","microsoft-hsg","Microsoft Health Solutions Group","ORG",,"0","0"
"472919","Supinfo-AppleLab-Paris","Apple Laboratory - SUPINFO Paris","ORG",,"0","1"
"473414","ApplETS","Club ApplETS","ORG",,"0","0"
"480999","OSTC","Microsoft Open Source Technology Center","ORG",,"0","0"
"547933","GDGLima","Google Developers Group Lima","ORG",,"0","0"
"644792","googleancientplaces","Google Ancient Places","ORG",,"0","0"
"657313","gitkit","Google Identity Toolkit","ORG",,"0","0"
"699310","stappler","Le Principe de Stappler","ORG",,"0","1"
"793013","starapple","StarApple","ORG",,"0","0"
"845261","ExperienceMicrosoft2012","Experience Microsoft 2012","ORG",,"0","0"
"1007812","GoogleCloudPlatform","Google Cloud Platform","ORG",,"0","0"
"1016661","GDGBremen","Google Developer Group Bremen","ORG",,"0","0"
"1253829","mapple","mApple Inc.","ORG",,"0","0"
"1287194","LIS","Linux Integration Services for Microsoft Hyper-V","ORG",,"0","0"
"1462476","GDGBrescia","Google Developer Group Brescia","ORG",,"0","0"
"1498426","CornappleResearch","Cornapple Research","ORG",,"0","1"
"1563080","studiocrabapple","Studio Crabapple","ORG",,"0","0"
"1652215","googleplus","Google+","ORG",,"0","0"
"1720275","Green-Apple","Green-Apple","ORG",,"0","0"
"1758856","googledrive","Google Drive","ORG",,"0","0"
"1761123","googlemaps","Google Maps","ORG",,"0","0"
"1775563","GoogleCamp-ZJU","Google Camp@ZJU","ORG",,"0","0"
"1803288","google-web-toolkit","Google Web Toolkit - GWT","ORG",,"0","0"
"1858162","googleglass","Google Glass","ORG",,"0","0"
"1923918","DevWebMs","Communauté Développeurs Web Microsoft","ORG",,"0","0"
"1936965","googleanalytics","Google Analytics","ORG",,"0","0"
"1986881","playgameservices","Google Play Game Services","ORG",,"0","0"
"2269892","greenapple-ph","Greenapple","ORG",,"0","0"
"2297533","MicrosoftResearchSVC","Microsoft Research Silicon Valley","ORG",,"0","1"
"2321206","gcplab","GCP(Google Cloud Platform) Lab","ORG",,"0","0"
"2323338","googlecast","Google Cast","ORG",,"0","0"
"2390496","googleads","Google Ads","ORG",,"0","0"
"2462266","AppleDevelopment","Apple's Dev Team","ORG",,"0","0"
"2463713","googlewallet","Google Wallet","ORG",,"0","1"
"2476920","devfest-speakers","Google DevFest Speakers","ORG",,"0","1"
"2550705","googlecreativelab","Google Creative Lab","ORG",,"0","0"
"2591540","googlei18n","Google Internationalization","ORG",,"0","0"
"2617109","gdgitalia","Google Developers Groups Italia","ORG",,"0","0"
"2646538","gdgchennai","Google Developers Group, Chennai","ORG",,"0","0"
"2663517","google-test","Google Test","ORG","Google","0","0"
"2708325","GDGOpenLima","Google Developers Group Open Lima","ORG",,"0","0"
"2897318","googleknowledge","Google Knowledge","ORG",,"0","0"
"2978904","GoogleDevelopers","Google Developers","ORG",,"0","0"
"3084163","UofU-MLib-ITS-Apple","University of Utah Apple Support","ORG",,"0","1"
"3085498","googlecoin","googlecoin","ORG",,"0","0"
"3126726","AppleRealms","Apple Realms","ORG",,"0","1"
"3129618","Microsoft-CISL","Cloud and Information Services Lab, Microsoft","ORG",,"0","0"
"3160496","GDG-Korea","Google Developer Groups Korea","ORG",,"0","0"
"3167794","chef-windows","Chef Cookbooks for Microsoft Windows","ORG",,"0","0"
"3187855","MSRConnections","Microsoft Research Connections","ORG",,"0","0"
"3194223","grappleio","Grapple App Studio","ORG",,"0","0"
"3197306","univ-of-utah-marriott-library-apple","University of Utah, Marriott Library, Apple Support","ORG",,"0","0"
"3206947","appleseedhq","appleseedhq","ORG",,"0","0"
"3333020","MicrosoftHybridCloudCOE","MicrosoftHybridCloudCOE","ORG",,"0","1"
"3431929","AppleButterJam","Apple Butter Jam","ORG",,"0","0"
"3564315","googlefonts","Google Fonts","ORG",,"0","0"
"3573927","AppleBloomDev","Apple Bloom Development","ORG",,"0","1"
"3607908","gde-plus","GDE Google+","ORG",,"0","0"
"3612697","mspfe","Microsoft Premier Field Engineering","ORG",,"0","0"
"3681780","Azure","Microsoft Azure","ORG",,"0","0"
"3692360","AzureADSamples","Microsoft Azure Active Directory Samples and Documentation","ORG",,"0","0"
"3704468","google-hash-code-paris-2014-tmo","Google Hash Code Paris 2014 - Turing Machine Operators Team","ORG",,"0","1"
"3711549","google-hash-code-paris-2014","Google Hash Code Paris 2014 - Pre Competition Free For All Collaboration","ORG",,"0","1"
"3803416","cytoscape-gsoc","Google Summer of Code Projects for Cytoscape","ORG",,"0","0"
"3831740","MUK-Google-Ambassadors","MUK Google Ambassadors","ORG",,"0","0"
"3871792","googlegenomics","Google Genomics","ORG",,"0","0"
"3874418","Supinfo-AppleLab","Apple Laboratory - SUPINFO Paris","ORG",,"0","0"
"3886902","Microsoft","Microsoft","ORG",,"0","0"
"3931452","appletonmakerspace","Appleton Makerspace","ORG",,"0","0"
"3943012","AppleClubTongji","Tongji Apple Club","ORG",,"0","0"
"3977899","DesenvolvedoresGoogle","Desenvolvedores Google","ORG",,"0","0"
"4011840","fitmca","Freudenberg IT - Microsoft Consulting & Applications","ORG",,"0","1"
"4072246","msp-brazil","Microsoft Student Partners Brazil","ORG",,"0","1"
"4253100","MicrosoftResearch","Microsoft Research","ORG",,"0","0"
"4265053","appleswift","Apple Swift","ORG",,"0","0"
"4401551","50000","apple","ORG",,"0","0"
"4403653","GetGoogleBack","Googler(s) In China","ORG",,"0","0"
"4434436","Microsoft-TrainingKits","Microsoft Training Kits","ORG",,"0","1"
"4438683","googlesamples","Google Samples","ORG",,"0","0"
"4603853","gsammu","Google Student Ambassadors @ MMU","ORG",,"0","0"
"4668345","GDGAmityUniversity","Google Developers Group- Amity University","ORG",,"0","0"
"4710397","MadApplePie","Apple Pie","ORG",,"0","0"
"4894238","applepi-2067","Apple Pi Robotics","ORG",,"0","0"
"4978685","GDGOakdale","Google Developer Group Oakdale","ORG",,"0","0"
"4991742","gdgjodhpur","Google Developers Group Jodhpur","ORG",,"0","0"
"5115928","MicrosoftDotCom","Microsoft.com","ORG",,"0","0"
"5374050","AppletClub","AppletClub        Proyecto Desarrollo de Aplicaciones Web","ORG",,"0","1"
"5376199","gddb","Google Drive Database","ORG",,"0","0"
"5418458","ADTPro","Apple Disk Transfer ProDOS (ADTPro)","ORG",,"0","0"
"5499841","dxcamps","Microsoft DX Camps","ORG",,"0","0"
"5519528","msdxslo","Microsoft Slovenija","ORG",,"0","0"
"5570648","googlegsa","Google Search Appliance","ORG",,"0","0"
"5695905","google-cpp-testing-framework"," Google C++ Testing Framework","ORG",,"0","1"
"5704396","gdgbari","Google Developer Group Bari","ORG",,"0","0"
"5709201","XGoogleTest","XGoogleTest","ORG",,"0","1"
"5821674","appletonlearning","Appleton Learning","ORG",,"0","0"
"5900259","MSRCompBio","Microsoft Research Computational Biology","ORG",,"0","0"
"6185590","MicrosoftGenomics","Microsoft Genomics","ORG",,"0","0"
"6212959","SquidDev-GCI","SquidDev-GoogleCodeIn","ORG",,"0","1"
"6334184","GDGIndore","Google Developer Group Indore","ORG",,"0","0"
"6334739","google-belarus","Google Belarus","ORG",,"0","1"
"6360115","DynamicsCRM","Microsoft Dynamics CRM SDK Samples and Documentation","ORG",,"0","0"
"6362161","gmds","Google Material Design","ORG",,"0","0"
"6418712","mstc-escom","Microsoft Student Tech Club @ ESCOM-IPN","ORG",,"0","1"
"6478420","TeamPineapple","Team Pineapple","ORG",,"0","0"
"6639284","GoogleIO2014","GoogleIO2014","ORG",,"0","0"
"6666848","Parature","Microsoft Parature","ORG",,"0","0"
"6813778","GDGSantiagoChile","Google Developers Group Santiago Chile","ORG",,"0","0"
"6827019","PhillyGDG","Philly Google Developer Group","ORG",,"0","0"
"6846543","GoogleCloudPlatformTraining","GoogleCloudPlatformTraining","ORG",,"0","0"
"6853593","GoogleCodeIn","Google Code-In","ORG",,"0","0"
"6858777","MicrosoftCivicTech","Microsoft Civic Tech","ORG",,"0","1"
"6874991","AppleseedApp","Appleseed App","ORG",,"0","0"
"6961908","AzureFederalSales","Microsoft Azure Federal Sales","ORG",,"0","1"
"7028430","AzureFederal","Microsoft Azure Federal","ORG",,"0","0"
"7049516","pynappleCL","Pynapple EIRL","ORG",,"0","0"
"7113696","applecart","Project Applecart","ORG",,"0","0"
"7230521","GDGNorthAmerica","Google Developer Groups - North America","ORG",,"0","0"
"7234440","fitesm","Freudenberg IT - Enterprise Solutions Microsoft (FIT ESM)","ORG",,"0","0"
